"","V1","V2","V3"
"Title","Descriptives for all years","Descriptives for Pre 2008 Model","Descriptives for Post 2008 Model"
"Nodes","Node Count: 67","Node Count: 52","Node Count: 66"
"Edges","Edge Count: 3803","Edge Count: 468","Edge Count: 3335"
"Degree","Degree: 113.522","Degree: 18","Degree: 101.061"
"Strength","Strength: 113.522","Strength: 18","Strength: 101.061"
"Closeness","Closeness: 0.654","Closeness: 0.521","Closeness: 0.647"
"Betweenness","Betweenness: 18.657","Betweenness: 24.808","Betweenness: 18.97"
"Eigenvector","Eigenvector centrality: 0.153","Eigenvector centrality: 0.213","Eigenvector centrality: 0.154"
"PageRank","Page rank: 0.015","Page rank: 0.019","Page rank: 0.015"
"Authority","Authority score: 0.153","Authority score: 0.213","Authority score: 0.154"
"NetworkDiameter","Network Diameter: 3","Network Diameter: 4","Network Diameter: 3"
"Distance","Mean Distance: 1.565","Mean Distance: 1.973","Mean Distance: 1.584"
"Density","Edge Density Graph Density: 1.72","Edge Density Graph Density: 0.353","Edge Density Graph Density: 1.555"
"Reciprocity","Reciprocity: 1","Reciprocity: 1","Reciprocity: 1"
"Transitivity","Transitivity: 0.633","Transitivity: 0.515","Transitivity: 0.622"
"Components","Connected Components: 1","Connected Components: 1","Connected Components: 1"
"ModularityClass","Modularity Class: 3","Modularity Class: 6","Modularity Class: 3"
